iter	Passed	Remaining
217	2341	8398
218	2351	8387
219	2362	8375
220	2373	8365
221	2383	8354
222	2394	8343
223	2405	8334
224	2418	8329
225	2428	8318
226	2439	8308
227	2450	8297
228	2461	8285
229	2471	8274
230	2481	8262
231	2492	8251
232	2503	8240
233	2513	8228
234	2524	8217
235	2534	8205
236	2545	8195
237	2555	8183
238	2566	8171
239	2577	8160
240	2588	8151
241	2598	8139
242	2608	8127
243	2619	8116
244	2629	8103
245	2640	8092
246	2650	8080
247	2660	8068
248	2671	8056
249	2681	8045
250	2692	8035
251	2702	8023
252	2713	8010
253	2723	7999
254	2734	7988
255	2744	7976
256	2755	7966
257	2765	7954
258	2776	7943
259	2786	7931
260	2797	7919
261	2807	7908
262	2818	7897
263	2828	7886
264	2839	7875
265	2850	7864
266	2860	7853
267	2870	7840
268	2880	7827
269	2890	7815
270	2901	7804
271	2911	7792
272	2921	7780
273	2932	7769
274	2943	7759
275	2953	7748
276	2964	7737
277	2974	7725
278	2985	7714
279	2995	7703
280	3006	7692
281	3016	7680
282	3026	7669
283	3037	7658
284	3048	7646
285	3058	7635
286	3068	7623
287	3079	7612
288	3089	7600
289	3099	7588
290	3110	7577
291	3120	7566
292	3130	7554
293	3141	7543
294	3152	7532
295	3162	7521
296	3172	7510
297	3183	7498
298	3193	7488
299	3204	7477
300	3214	7465
301	3225	7454
302	3235	7442
303	3246	7432
304	3256	7421
305	3267	7410
306	3277	7399
307	3288	7388
308	3299	7379
309	3309	7365
310	3321	7358
311	3333	7349
312	3343	7339
313	3354	7328
314	3364	7317
315	3376	7308
316	3388	7301
317	3399	7290
318	3410	7279
319	3420	7268
320	3430	7256
321	3441	7245
322	3451	7234
323	3461	7223
324	3472	7212
325	3483	7201
326	3493	7190
327	3504	7179
328	3515	7169
329	3525	7156
330	3534	7143
331	3545	7132
332	3555	7121
333	3566	7111
334	3576	7100
335	3586	7088
336	3597	7077
337	3607	7066
338	3618	7054
339	3629	7044
340	3639	7033
341	3650	7023
342	3661	7012
343	3672	7004
344	3682	6991
345	3693	6980
346	3703	6968
347	3713	6957
348	3723	6945
349	3733	6934
350	3744	6924
351	3755	6912
352	3765	6901
353	3775	6890
354	3785	6878
355	3796	6867
356	3807	6857
357	3817	6845
358	3827	6833
359	3838	6823
360	3848	6812
361	3859	6801
362	3869	6790
363	3880	6780
364	3891	6769
365	3901	6758
366	3911	6747
367	3923	6737
368	3933	6726
369	3943	6715
370	3954	6704
371	3964	6693
372	3975	6682
373	3986	6672
374	3997	6661
375	4007	6650
376	4017	6639
377	4028	6629
378	4039	6618
379	4049	6607
380	4060	6596
381	4071	6586
382	4081	6574
383	4091	6563
384	4102	6553
385	4113	6543
386	4123	6532
387	4134	6520
388	4144	6509
389	4154	6498
390	4165	6488
391	4176	6477
392	4186	6466
393	4197	6455
394	4207	6444
395	4218	6434
396	4229	6423
397	4239	6412
398	4249	6401
399	4260	6390
400	4270	6378
401	4280	6367
402	4291	6356
403	4301	6346
404	4312	6335
405	4322	6324
406	4333	6313
407	4343	6302
408	4354	6292
409	4364	6281
410	4373	6267
411	4383	6256
412	4393	6244
413	4404	6233
414	4414	6223
415	4425	6212
416	4435	6201
417	4446	6190
418	4456	6179
419	4466	6168
420	4477	6157
421	4487	6146
422	4497	6135
423	4508	6124
424	4519	6113
425	4529	6103
426	4540	6092
427	4551	6082
428	4561	6071
429	4571	6060
430	4582	6049
431	4593	6039
432	4603	6028
433	4613	6017
434	4624	6006
435	4634	5995
436	4645	5984
437	4655	5973
438	4665	5962
439	4676	5951
440	4686	5940
441	4696	5928
442	4707	5918
443	4717	5907
444	4727	5896
445	4738	5885
446	4749	5875
447	4759	5864
448	4770	5853
449	4780	5842
450	4790	5831
451	4801	5820
452	4811	5809
453	4822	5799
454	4832	5788
455	4843	5777
456	4853	5766
457	4863	5755
458	4874	5745
459	4885	5734
460	4895	5723
461	4905	5712
462	4916	5701
463	4926	5691
464	4937	5680
465	4947	5669
466	4957	5658
467	4968	5647
468	4978	5637
469	4989	5626
470	4999	5615
471	5010	5604
472	5020	5593
473	5031	5583
474	5041	5572
475	5052	5561
476	5062	5550
477	5073	5540
478	5083	5529
479	5094	5518
480	5105	5508
481	5115	5497
482	5126	5487
483	5136	5476
484	5147	5465
485	5157	5454
486	5168	5443
487	5178	5433
488	5189	5422
489	5199	5412
490	5210	5401
491	5220	5390
492	5231	5379
493	5241	5369
494	5252	5358
495	5263	5348
496	5273	5337
497	5284	5326
498	5294	5315
499	5305	5305
500	5315	5294
501	5325	5283
502	5336	5272
503	5348	5263
504	5359	5253
505	5369	5242
506	5380	5231
507	5390	5220
508	5400	5209
509	5411	5199
510	5421	5188
511	5432	5177
512	5443	5167
513	5453	5156
514	5464	5146
515	5474	5135
516	5485	5124
517	5494	5112
518	5504	5101
519	5512	5088
520	5523	5078
521	5534	5068
522	5545	5057
523	5555	5046
524	5566	5036
525	5577	5025
526	5587	5014
527	5597	5004
528	5608	4993
529	5619	4983
530	5629	4972
531	5640	4961
532	5650	4950
533	5661	4940
534	5671	4929
535	5681	4918
536	5692	4907
537	5701	4896
538	5712	4885
539	5722	4874
540	5732	4863
541	5743	4853
542	5753	4842
543	5764	4831
544	5775	4821
545	5785	4810
546	5795	4799
547	5806	4788
548	5816	4777
549	5826	4767
550	5837	4756
551	5847	4745
552	5858	4735
553	5868	4724
554	5878	4713
555	5888	4702
556	5898	4691
557	5908	4680
558	5919	4669
559	5929	4659
560	5940	4648
561	5951	4638
562	5961	4627
563	5972	4616
564	5982	4606
565	5992	4595
566	6002	4584
567	6013	4573
568	6024	4563
569	6034	4552
570	6044	4541
571	6055	4530
572	6065	4520
573	6076	4509
574	6086	4499
575	6097	4488
576	6108	4477
577	6118	4467
578	6129	4456
579	6139	4446
580	6150	4435
581	6160	4424
582	6171	4414
583	6182	4403
584	6192	4393
585	6203	4382
586	6213	4371
587	6223	4360
588	6234	4350
589	6244	4339
590	6255	4328
591	6265	4317
592	6275	4307
593	6286	4296
594	6296	4285
595	6306	4275
596	6317	4264
597	6329	4255
598	6340	4244
599	6350	4233
600	6361	4223
601	6372	4212
602	6382	4202
603	6393	4191
604	6403	4181
605	6413	4169
606	6423	4159
607	6434	4148
608	6444	4137
609	6454	4126
610	6465	4116
611	6475	4105
612	6485	4094
613	6496	4083
614	6506	4073
615	6516	4062
616	6527	4051
617	6537	4041
618	6548	4030
619	6558	4019
620	6569	4009
621	6579	3998
622	6590	3988
623	6600	3977
624	6611	3966
625	6621	3956
626	6631	3945
627	6642	3934
628	6652	3923
629	6663	3913
630	6672	3901
631	6681	3890
632	6691	3879
633	6702	3869
634	6712	3858
635	6723	3847
636	6733	3837
637	6743	3826
638	6754	3815
639	6765	3805
640	6775	3794
641	6786	3784
642	6796	3773
643	6806	3762
644	6817	3752
645	6828	3741
646	6838	3731
647	6849	3720
648	6859	3709
649	6869	3699
650	6880	3688
651	6890	3677
652	6901	3667
653	6911	3656
654	6921	3645
655	6932	3635
656	6943	3624
657	6953	3614
658	6964	3603
659	6975	3593
660	6985	3582
661	6996	3572
662	7006	3561
663	7017	3550
664	7027	3540
665	7037	3529
666	7048	3518
667	7059	3508
668	7069	3497
669	7079	3487
670	7089	3475
671	7099	3465
672	7109	3454
673	7120	3444
674	7131	3433
675	7141	3422
676	7152	3412
677	7162	3401
678	7172	3391
679	7183	3380
680	7193	3369
681	7204	3359
682	7215	3348
683	7225	3338
684	7235	3327
685	7246	3316
686	7256	3306
687	7269	3296
688	7280	3286
689	7291	3275
690	7301	3265
691	7313	3255
692	7324	3244
693	7335	3234
694	7346	3223
695	7356	3213
696	7366	3202
697	7377	3191
698	7387	3181
699	7398	3170
700	7408	3160
701	7419	3149
702	7430	3139
703	7441	3128
704	7451	3118
705	7462	3107
706	7473	3097
707	7483	3086
708	7492	3075
709	7502	3064
710	7513	3053
711	7523	3043
712	7533	3032
713	7544	3021
714	7554	3011
715	7565	3000
716	7576	2990
717	7587	2979
718	7597	2969
719	7608	2958
720	7618	2948
721	7629	2937
722	7639	2926
723	7649	2916
724	7660	2905
725	7668	2894
726	7678	2883
727	7689	2872
728	7698	2861
729	7709	2851
730	7720	2840
731	7730	2830
732	7740	2819
733	7751	2809
734	7761	2798
735	7772	2787
736	7782	2777
737	7794	2767
738	7804	2756
739	7813	2745
740	7823	2734
741	7832	2723
742	7843	2712
743	7851	2701
744	7858	2689
745	7867	2678
746	7875	2667
747	7884	2656
748	7893	2645
749	7903	2634
750	7912	2623
751	7921	2612
752	7931	2601
753	7942	2591
754	7952	2580
755	7962	2570
756	7972	2559
757	7983	2548
758	7992	2537
759	8002	2527
760	8011	2515
761	8019	2504
762	8028	2493
763	8037	2482
764	8046	2471
765	8055	2460
766	8064	2449
767	8073	2438
768	8082	2427
769	8091	2417
770	8101	2406
771	8110	2395
772	8118	2384
773	8127	2373
774	8136	2362
775	8145	2351
776	8155	2340
777	8165	2329
778	8173	2318
779	8182	2307
780	8191	2297
781	8202	2286
782	8210	2275
783	8219	2264
784	8229	2253
785	8238	2242
786	8247	2232
787	8256	2221
788	8266	2210
789	8276	2199
790	8285	2189
791	8295	2178
792	8304	2167
793	8312	2156
794	8321	2145
795	8329	2134
796	8339	2124
797	8349	2113
798	8359	2102
799	8368	2092
800	8377	2081
801	8386	2070
802	8396	2059
803	8407	2049
804	8417	2038
805	8428	2028
806	8439	2018
807	8449	2007
808	8459	1997
809	8469	1986
810	8480	1976
811	8490	1965
812	8498	1954
813	8509	1944
814	8520	1934
815	8530	1923
816	8539	1912
817	8548	1902
818	8557	1891
819	8567	1880
820	8577	1870
821	8588	1859
822	8597	1849
823	8607	1838
824	8617	1827
825	8626	1817
826	8637	1806
827	8646	1796
828	8656	1785
829	8666	1775
830	8674	1764
831	8686	1753
832	8695	1743
833	8705	1732
834	8715	1722
835	8724	1711
836	8734	1701
837	8743	1690
838	8752	1679
839	8762	1669
840	8772	1658
841	8783	1648
842	8792	1637
843	8800	1626
844	8808	1615
845	8817	1605
846	8826	1594
847	8835	1583
848	8845	1573
849	8853	1562
850	8862	1551
851	8871	1541
852	8880	1530
853	8889	1519
854	8897	1508
855	8907	1498
856	8917	1487
857	8928	1477
858	8940	1467
859	8950	1457
860	8960	1446
861	8969	1436
862	8980	1425
863	8990	1415
864	9001	1404
865	9012	1394
866	9022	1384
867	9033	1373
868	9043	1363
869	9053	1352
870	9063	1342
871	9072	1331
872	9083	1321
873	9094	1311
874	9104	1300
875	9113	1290
876	9122	1279
877	9132	1269
878	9142	1258
879	9151	1247
880	9162	1237
881	9170	1226
882	9180	1216
883	9190	1206
884	9199	1195
885	9210	1185
886	9219	1174
887	9228	1163
888	9239	1153
889	9248	1143
890	9259	1132
891	9270	1122
892	9280	1111
893	9290	1101
894	9301	1091
895	9310	1080
896	9320	1070
897	9330	1059
898	9341	1049
899	9351	1039
900	9361	1028
901	9371	1018
902	9382	1007
903	9391	997
904	9401	986
905	9410	976
906	9421	966
907	9431	955
908	9440	945
909	9450	934
910	9459	924
911	9468	913
912	9479	903
913	9488	892
914	9498	882
915	9508	871
916	9518	861
917	9528	851
918	9536	840
919	9547	830
920	9556	819
921	9566	809
922	9576	798
923	9585	788
924	9596	778
925	9605	767
926	9614	757
927	9625	746
928	9633	736
929	9643	725
930	9652	715
931	9661	704
932	9671	694
933	9680	684
934	9690	673
935	9698	663
936	9708	652
937	9717	642
938	9726	631
939	9737	621
940	9746	611
941	9755	600
942	9764	590
943	9774	579
944	9783	569
945	9791	558
946	9800	548
947	9808	537
948	9815	527
949	9824	517
950	9833	506
951	9842	496
952	9852	485
953	9862	475
954	9872	465
955	9881	454
956	9890	444
957	9898	433
958	9908	423
959	9917	413
960	9928	402
961	9937	392
962	9962	382
963	9974	372
964	9984	362
965	9994	351
966	10005	341
967	10015	331
968	10024	320
969	10034	310
970	10042	299
971	10052	289
972	10061	279
973	10071	268
974	10082	258
975	10091	248
976	10101	237
977	10111	227
978	10121	217
979	10131	206
980	10140	196
981	10150	186
982	10159	175
983	10169	165
984	10180	155
985	10189	144
986	10199	134
987	10208	123
988	10218	113
989	10228	103
990	10240	92
991	10250	82
992	10260	72
993	10270	61
994	10280	51
995	10290	41
996	10299	30
997	10309	20
998	10318	10
999	10329	0
